Número de Habitación,Noches de hospedaje,Calificación de su experiencia,Ventilador,Aire Acondicionado,Wi-Fi,Pantalla Plana,TV
405,3,8,SI,SI,SI,SI,NO
203,1,1,SI,NO,NO,NO,SI
302,3,9,NO,SI,SI,NO,SI
305,6,7,NO,SI,SI,NO,SI
405,7,8,SI,SI,SI,SI,NO
305,4,7,NO,SI,SI,NO,SI
201,6,5,SI,NO,NO,NO,SI
304,6,2,NO,SI,SI,NO,SI
401,4,9,SI,SI,SI,SI,NO
201,5,4,SI,NO,NO,NO,SI
304,5,8,NO,SI,SI,NO,SI
303,6,8,NO,SI,SI,NO,SI
304,7,9,NO,SI,SI,NO,SI
403,1,9,SI,SI,SI,SI,NO
302,5,7,NO,SI,SI,NO,SI
403,6,10,SI,SI,SI,SI,NO
401,1,9,SI,SI,SI,SI,NO
401,5,7,SI,SI,SI,SI,NO
303,6,6,NO,SI,SI,NO,SI
301,1,7,NO,SI,SI,NO,SI
204,5,2,SI,NO,SI,NO,SI
102,4,7,SI,NO,NO,NO,SI
105,2,4,SI,NO,NO,NO,SI
204,4,7,SI,NO,SI,NO,SI
101,7,3,SI,NO,NO,NO,SI
303,6,6,NO,SI,SI,NO,SI
103,5,3,SI,NO,NO,NO,SI
102,2,2,SI,NO,NO,NO,SI
204,6,4,SI,NO,SI,NO,SI
402,3,10,SI,SI,SI,SI,NO
